地點,氣象項目,開始時間,結束時間,數值
新北市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
新北市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意
新北市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
新北市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
桃園市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
桃園市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲
桃園市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,100
桃園市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
桃園市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
桃園市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
桃園市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
桃園市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意
桃園市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
桃園市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
新竹市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
新竹市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
新竹市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,90
新竹市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
新竹市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
新竹市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
新竹市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至舒適
新竹市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至稍有寒意
新竹市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
新竹市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
新竹縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
新竹縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
新竹縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,90
新竹縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
新竹縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
新竹縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
新竹縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至舒適
新竹縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至稍有寒意
新竹縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,21
新竹縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
宜蘭縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
宜蘭縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
宜蘭縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,60
宜蘭縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
宜蘭縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,16
宜蘭縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,16
宜蘭縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意
宜蘭縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意
宜蘭縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,20
宜蘭縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
苗栗縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
苗栗縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
苗栗縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,90
苗栗縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
苗栗縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,15
苗栗縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,15
苗栗縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至舒適
苗栗縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至稍有寒意
苗栗縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,20
苗栗縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
臺中市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
臺中市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲時陰
臺中市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,80
臺中市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
臺中市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,17
臺中市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,17
臺中市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
臺中市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
臺中市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
臺中市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
彰化縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
彰化縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲時陰
彰化縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,70
彰化縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
彰化縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,17
彰化縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,17
彰化縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
彰化縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
彰化縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
彰化縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
南投縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
南投縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
南投縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,80
南投縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
南投縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,18
南投縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,18
南投縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
南投縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
南投縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
南投縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
雲林縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
雲林縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
雲林縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,80
雲林縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
雲林縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,18
雲林縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,18
雲林縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
雲林縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
雲林縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
雲林縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
嘉義市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
嘉義市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰天
嘉義市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,70
嘉義市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
嘉義市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,18
嘉義市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,18
嘉義市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
嘉義市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
嘉義市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
嘉義市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
嘉義縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰陣雨或雷雨
嘉義縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
嘉義縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,70
嘉義縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
嘉義縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,19
嘉義縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,19
嘉義縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
嘉義縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
嘉義縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
嘉義縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
臺南市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
臺南市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲
臺南市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,40
臺南市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
臺南市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,19
臺南市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,19
臺南市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
臺南市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
臺南市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,23
臺南市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,24
高雄市,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
高雄市,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰時多雲短暫雨
高雄市,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,40
高雄市,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,30
高雄市,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
高雄市,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
高雄市,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,舒適
高雄市,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,舒適
高雄市,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,25
高雄市,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,25
屏東縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
屏東縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰短暫雨
屏東縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,40
屏東縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,30
屏東縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
屏東縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
屏東縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,舒適
屏東縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,舒適
屏東縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,25
屏東縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,24
花蓮縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
花蓮縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰短暫雨
花蓮縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,40
花蓮縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,30
花蓮縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,19
花蓮縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,19
花蓮縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
花蓮縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
花蓮縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
花蓮縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,21
臺東縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
臺東縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,陰短暫雨
臺東縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,40
臺東縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,60
臺東縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,21
臺東縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
臺東縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,舒適
臺東縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,舒適
臺東縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,24
臺東縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
澎湖縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,陰短暫陣雨或雷雨
澎湖縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲時陰
澎湖縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,30
澎湖縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
澎湖縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,19
澎湖縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,19
澎湖縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,稍有寒意至舒適
澎湖縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,稍有寒意至舒適
澎湖縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,22
澎湖縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
金門縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,晴時多雲
金門縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,多雲
金門縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,20
金門縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
金門縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,15
金門縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,15
金門縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至稍有寒意
金門縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至舒適
金門縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,18
金門縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,22
連江縣,天氣現象,'2025-04-13 00:00:00,'2025-04-13 06:00:00,多雲
連江縣,天氣現象,'2025-04-13 06:00:00,'2025-04-13 18:00:00,晴時多雲
連江縣,降雨機率,'2025-04-13 00:00:00,'2025-04-13 06:00:00,20
連江縣,降雨機率,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
連江縣,最低氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,15
連江縣,最低氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,15
連江縣,舒適度,'2025-04-13 00:00:00,'2025-04-13 06:00:00,寒冷至稍有寒意
連江縣,舒適度,'2025-04-13 06:00:00,'2025-04-13 18:00:00,寒冷至稍有寒意
連江縣,最高氣溫,'2025-04-13 00:00:00,'2025-04-13 06:00:00,17
連江縣,最高氣溫,'2025-04-13 06:00:00,'2025-04-13 18:00:00,20
